jurisdiction,vertical,regulator,statute_citation,admin_code_citation,admin_code_title,admin_code_url,verification_status,retrieval_date,source_urls,notes
West Virginia,Horse/parimutuel racing,West Virginia Racing Commission,"W. Va. Code ch. 19, art. 23 (19-23-1 et seq.)",178 CSR,"West Virginia Code of State Rules, Title 178 (West Virginia Racing Commission); Series 1 Thoroughbred Racing, Series 2 Greyhound Racing, Series 5 Pari-Mutuel Wagering, Series 10 ADW",https://apps.sos.wv.gov/adlaw/csr/rule.aspx?agency=Racing+Commission,verified,2026-05-23,https://apps.sos.wv.gov/adlaw/csr/rule.aspx?agency=Racing+Commission,"WV Racing Commission rules are CSR Title 178: 178 CSR 1 Thoroughbred Racing, 178 CSR 2 Greyhound Racing, 178 CSR 5 Pari-Mutuel Wagering, 178 CSR 10 Advance Deposit Account Wagering. Verified via official WV SOS Administrative Law CSR database: Title 178 series confirmed with active legislative rules and W. Va. Code 19-23 authority. Resolves HTTP 200."
West Virginia,Sports betting,West Virginia Lottery,"W. Va. Code ch. 29, art. 22D (29-22D-1 et seq.)",179 CSR 9,"West Virginia Code of State Rules, Title 179, Series 9 (West Virginia Lottery Sports Wagering Rule)",https://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=179-09,verified,2026-05-23,https://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=179-09;https://apps.sos.wv.gov/adlaw/csr/rule.aspx?agency=Lottery+Commission,"WV sports wagering rules are 179 CSR 9 (West Virginia Lottery Sports Wagering Rule, current active version eff. 4/30/2025), adopted by the WV Lottery under W. Va. Code 29-22D. Verified via official WV SOS Administrative Law CSR database: series 179-09 confirmed (West Virginia Lottery Sports Wagering Rule) with versions listed. Resolves HTTP 200."
West Virginia,iGaming/online casino,West Virginia Lottery,"W. Va. Code ch. 29, art. 22E (29-22E-1 et seq.)",179 CSR 10,"West Virginia Code of State Rules, Title 179, Series 10 (West Virginia Lottery Interactive Wagering Rule)",https://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=179-10,verified,2026-05-23,https://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=179-10;https://apps.sos.wv.gov/adlaw/csr/rule.aspx?agency=Lottery+Commission,"WV iGaming/online casino rules are 179 CSR 10 (West Virginia Lottery Interactive Wagering Rule, current active version eff. 4/27/2026), adopted by the WV Lottery under W. Va. Code 29-22E (Interactive Wagering Act). Verified via official WV SOS Administrative Law CSR database: Title 179 series list confirms 179-10 Interactive Wagering Rule. Resolves HTTP 200."
West Virginia,Charitable gaming,West Virginia State Tax Department,"W. Va. Code ch. 47, art. 20 (bingo); art. 21 (raffles)",110 CSR 16 and 110 CSR 37,"West Virginia Code of State Rules, Title 110 (Tax Department); Series 16 Bingo, Series 37 Charitable Raffles (also 110 CSR 16A Online Bingo and Raffles)",https://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=110-16,verified,2026-05-23,https://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=110-16;https://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=110-37,"WV charitable gaming rules are under CSR Title 110 (Tax Department): 110 CSR 16 Bingo (authority W. Va. Code 47-20-23), 110 CSR 37 Charitable Raffles (authority 47-21-21), and 110 CSR 16A On-line Bingo and Raffles. Verified via official WV SOS Administrative Law CSR database: 110-16 (Bingo) and 110-37 (Charitable Raffles) confirmed as active legislative rules of the Tax Department. Both resolve HTTP 200."
Wisconsin,Lottery,Wisconsin Lottery (Dept. of Revenue),Wis. Stat. ch. 565,Wis. Admin. Code ch. Tax 61,"Wisconsin Administrative Code, Department of Revenue, Chapter Tax 61 (Retailers / Lottery)",https://docs.legis.wisconsin.gov/code/admin_code/tax/61,verified,2026-05-23,https://docs.legis.wisconsin.gov/code/admin_code/tax/61;https://docs.legis.wisconsin.gov/code/admin_code/tax,"Wisconsin Lottery rules are administered by the Dept. of Revenue; the primary lottery administrative code chapter is Wis. Admin. Code ch. Tax 61 (Retailers), governing lottery retailer selection/licensing/operations. Verified via official docs.legis.wisconsin.gov: ch. Tax 61 confirmed (title 'RETAILERS', Tax 61.01 purpose re selecting retailers to sell lottery tickets, real regulation text). Resolves HTTP 200."
Wisconsin,Horse/parimutuel racing,Wisconsin Department of Administration - Division of Gaming,Wis. Stat. ch. 562,Wis. Admin. Code chs. Game 1-24,"Wisconsin Administrative Code, Department of Administration (Gaming), Chapters Game 1 through Game 24 (pari-mutuel racing)",https://docs.legis.wisconsin.gov/code/admin_code/game,verified,2026-05-23,https://docs.legis.wisconsin.gov/code/admin_code/game,"Wisconsin pari-mutuel racing rules are in the DOA 'Game' administrative code, chs. Game 1 (Definitions) through Game 24 (Intertrack Wagering), including Game 5 Licensure, Game 7 Greyhound Racing, Game 8 Pari-Mutuel Operations, Game 11 Powers/Duties of Division of Gaming, Game 14 Medication, Game 15 Humane Treatment. Verified via official docs.legis.wisconsin.gov: 'Game' chapter list confirmed with the racing chapters. Resolves HTTP 200."
Wisconsin,Charitable gaming,Wisconsin Department of Administration - Division of Gaming,Wis. Stat. ch. 563,Wis. Admin. Code chs. Game 41-43,"Wisconsin Administrative Code, Department of Administration (Gaming), Chapters Game 41 (Bingo Cards), Game 42 (Conduct of Bingo Games), Game 43 (Expenses)",https://docs.legis.wisconsin.gov/code/admin_code/game,verified,2026-05-23,https://docs.legis.wisconsin.gov/code/admin_code/game,"Wisconsin charitable (bingo) gaming rules are in the DOA 'Game' administrative code, chs. Game 41 Bingo Cards, Game 42 Conduct of Bingo Games, Game 43 Expenses, administered by the Division of Gaming under Wis. Stat. ch. 563 (Bingo and Raffle Control). Raffle conduct is largely statutory (ch. 563). Verified via official docs.legis.wisconsin.gov: 'Game' chapters 41-43 confirmed. Resolves HTTP 200."
Wisconsin,Commercial casino,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,"Flagged N/A - not authorized. Wisconsin has no state-licensed commercial casinos; casino gaming is conducted only by federally recognized tribes under IGRA tribal-state gaming compacts, not under a state administrative code. No research performed per instructions."
Wisconsin,Sports betting,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,"Flagged N/A - not authorized. Wisconsin has no commercial/state-regulated sports betting; sports wagering is offered only by tribes under amended IGRA compacts, not under a state administrative code. No research performed per instructions."
Wyoming,Lottery,WyoLotto (Wyoming Lottery Corporation),Wyo. Stat. Ann. § 9-17-101 et seq.,,,,NOT FOUND - needs human review,2026-05-23,https://rules.wyo.gov/Agencies.aspx;https://wyolotto.com/retailers/rules/,"No administrative code chapter located. WyoLotto (Wyoming Lottery Corporation, Wyo. Stat. 9-17-101 et seq.) is a body politic and corporate / instrumentality of the state whose board adopts its own game rules and procedures rather than rules filed under the state APA. The official Wyoming Secretary of State administrative rules repository (rules.wyo.gov) agency listing contains the Wyoming Gaming Commission (038) but NO separate WyoLotto/Lottery agency, indicating WyoLotto is effectively APA-exempt with no Code chapter. Game rules are published on wyolotto.com, not as state administrative rules. Needs human confirmation of APA-exempt status."
Wyoming,Horse/parimutuel racing,Wyoming Gaming Commission (formerly Pari-Mutuel Commission),Wyo. Stat. Ann. § 11-25-101 et seq.,WAR Agency 038 (Pari-Mutuel chs.),"Wyoming Administrative Rules, Agency 038 (Wyoming Gaming Commission); Pari-Mutuel rule chapters (incl. ch. 3, 5, 6, 8) covering live and historic horse racing",https://gaming.wyo.gov/rules-and-regs,verified,2026-05-23,https://gaming.wyo.gov/rules-and-regs;https://gaming.wyo.gov/pari-mutuel;https://rules.wyo.gov/,"Wyoming pari-mutuel/historic horse racing rules are filed by the Wyoming Gaming Commission (Wyoming Administrative Rules Agency 038) in the official SOS repository (rules.wyo.gov), organized into Pari-Mutuel chapters (e.g., ch. 3, 5, 6, 8). Verified: the Commission's official .gov rules page (gaming.wyo.gov/rules-and-regs) resolves HTTP 200, links the Pari-Mutuel Rules, and directs to the SOS repository as the authoritative source; SOS agency listing confirms 'Wyoming Gaming Commission (038)'. (rules.wyo.gov search UI is JS-rendered; agency presence and chapter structure verified via the agency .gov site and SOS listing.)"
Wyoming,Sports betting,Wyoming Gaming Commission,Wyo. Stat. Ann. § 9-24-101 et seq.,WAR Agency 038 (Online Sports Wagering chs.),"Wyoming Administrative Rules, Agency 038 (Wyoming Gaming Commission); Online Sports Wagering rule chapters (incl. ch. 1 and 8)",https://gaming.wyo.gov/rules-and-regs,verified,2026-05-23,https://gaming.wyo.gov/rules-and-regs;https://gaming.wyo.gov/OSW;https://rules.wyo.gov/,"Wyoming online sports wagering rules are filed by the Wyoming Gaming Commission (Agency 038) in the official SOS repository (rules.wyo.gov), organized as Online Sports Wagering (OSW) chapters (e.g., ch. 1 and 8; OSW authorized 2021 by HB 133, Wyo. Stat. 9-24). Verified: the Commission's official .gov rules page (gaming.wyo.gov/rules-and-regs) resolves HTTP 200 and links the OSW Rules; the OSW page (gaming.wyo.gov/OSW) resolves HTTP 200; SOS agency listing confirms Agency 038. (rules.wyo.gov search UI is JS-rendered; verified via agency .gov site and SOS agency listing.)"
Wyoming,Charitable gaming,Wyoming Gaming Commission,Wyo. Stat. Ann. § 6-7-101 et seq.,WAR Agency 038 (Charitable Gaming chs.),"Wyoming Administrative Rules, Agency 038 (Wyoming Gaming Commission); Charitable Gaming rules (bingo, pull-tabs, raffles)",https://gaming.wyo.gov/charitable-gaming,verified,2026-05-23,https://gaming.wyo.gov/charitable-gaming;https://gaming.wyo.gov/rules-and-regs;https://rules.wyo.gov/,"Wyoming charitable gaming (bingo, pull-tabs, raffles) is licensed/regulated by the Wyoming Gaming Commission (Agency 038) under Wyo. Stat. 6-7-101 et seq.; charitable organizations have been licensed by the Commission since July 1, 2020. Rules are filed in the official SOS repository (rules.wyo.gov). Verified: the Commission's official charitable-gaming .gov page resolves HTTP 200; the rules-and-regs page resolves HTTP 200; SOS agency listing confirms Agency 038. (rules.wyo.gov search UI is JS-rendered; verified via agency .gov site and SOS agency listing.)"
North Dakota,Charitable gaming,North Dakota Office of Attorney General - Gaming Division,N.D. Cent. Code ch. 53-06.1,North Dakota Administrative Code Title 99 (Article 99-01.3 - Games of Chance),North Dakota Administrative Code Title 99 - State Gaming Commission,https://ndlegis.gov/information/acdata/html/99-01.3.html,verified,2026-05-23,https://ndlegis.gov/information/acdata/html/99-01.3.html,"Title 99 (State Gaming Commission) Article 99-01.3 Games of Chance implements the charitable gaming statute; rules administered by the AG Gaming Division. Verified via official ndlegis.gov; chapters include Bingo, Raffles, Pull Tabs, Poker, etc."
North Dakota,Horse/parimutuel racing,North Dakota Racing Commission,N.D. Cent. Code ch. 53-06.2,North Dakota Administrative Code Title 69.5 (Article 69.5-01),North Dakota Administrative Code Title 69.5 - Racing Commission,https://ndlegis.gov/information/acdata/html/69.5-01.html,verified,2026-05-23,https://ndlegis.gov/information/acdata/html/69.5-01.html,"Article 69.5-01 North Dakota Racing Commission Rules verified on official ndlegis.gov (definitions, permits, pari-mutuel wagering systems, simulcasting)."
North Dakota,Sports betting,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,Flagged N/A in assignment. No statewide commercial sports betting authorized in North Dakota (limited to tribal gaming under compacts); no state regulator/admin code.
North Dakota,Lottery,North Dakota Lottery (Office of Attorney General),N.D. Cent. Code ch. 53-12.1,North Dakota Administrative Code Title 10 (Article 10-16 - Multi-State Lottery),North Dakota Administrative Code Title 10 - Attorney General; Article 10-16 Multi-State Lottery,https://ndlegis.gov/information/acdata/html/10-16.html,verified,2026-05-23,https://ndlegis.gov/information/acdata/html/10-16.html,"Lottery rules are codified under Title 10 (Attorney General), Article 10-16 Multi-State Lottery (Powerball, Mega Millions, etc.), not a separate lottery title. Verified on official ndlegis.gov."
Oklahoma,Lottery,Oklahoma Lottery Commission,"Okla. Stat. tit. 3A, § 701 et seq.",Oklahoma Administrative Code Title 429,Oklahoma Administrative Code Title 429 - Oklahoma Lottery Commission,https://oklahomarules.blob.core.windows.net/titlepdf/Title_429.pdf,verified,2026-05-23,https://oklahomarules.blob.core.windows.net/titlepdf/Title_429.pdf;https://rules.ok.gov/code,Lottery Commission is OAC Title 429 (lead's 'Title 730' was incorrect). Verified via official OAR (Secretary of State) title PDF; Chapter 1 cites authority 3A O.S. 707/709/710 and the Oklahoma Education Lottery Act. Official OAR search portal at rules.ok.gov.
Oklahoma,Commercial casino,Oklahoma Horse Racing Commission; tribal gaming commissions,"Okla. Stat. tit. 3A, § 261 et seq. (State-Tribal Compacts); tit. 3A, § 200.1 et seq. (racetrack gaming)",Oklahoma Administrative Code Title 325 (Racetrack Gaming chapters - e.g. ch. 80 Gaming Licensing Requirements; ch. 85 Gaming Machine Specifications; ch. 90 Gaming Operations),Oklahoma Administrative Code Title 325 - Oklahoma Horse Racing Commission,https://oklahomarules.blob.core.windows.net/titlepdf/Title_325.pdf,verified,2026-05-23,https://oklahomarules.blob.core.windows.net/titlepdf/Title_325.pdf;https://rules.ok.gov/code,"State-licensed racetrack ('racino') gaming is regulated by the OHRC under OAC Title 325 (Chapters 80/85/90 cover gaming licensing, machine specs, and operations). Verified via official OAR title PDF. Tribal casino gaming is governed by tribal gaming commissions under State-Tribal Compacts (3A O.S. 261 et seq.) and has no state administrative code."
Oklahoma,Horse/parimutuel racing,Oklahoma Horse Racing Commission,"Okla. Stat. tit. 3A, § 200.1 et seq.",Oklahoma Administrative Code Title 325,Oklahoma Administrative Code Title 325 - Oklahoma Horse Racing Commission,https://oklahomarules.blob.core.windows.net/titlepdf/Title_325.pdf,verified,2026-05-23,https://oklahomarules.blob.core.windows.net/titlepdf/Title_325.pdf;https://rules.ok.gov/code,OAC Title 325 Oklahoma Horse Racing Commission verified via official OAR title PDF; Chapter 1 cites authority 3A O.S. 204 and the Oklahoma Horse Racing Act. Pari-mutuel rules in chapters incl. ch. 65 Pari-Mutuel Wagering.
Oklahoma,Charitable gaming,Oklahoma Alcoholic Beverage Laws Enforcement Commission,"Okla. Stat. tit. 3A, § 401 et seq.",Oklahoma Administrative Code Title 45 (Chapter 50 - Charity Games),Oklahoma Administrative Code Title 45 - Alcoholic Beverage Laws Enforcement Commission,https://oklahomarules.blob.core.windows.net/titlepdf/Title_45.pdf,verified,2026-05-23,https://oklahomarules.blob.core.windows.net/titlepdf/Title_45.pdf;https://rules.ok.gov/code,"Charitable gaming (Charity Games / bingo) is regulated by the ABLE Commission under OAC Title 45, Chapter 50 (Charity Games). Verified via official OAR title PDF (Title 45 confirmed = ABLE Commission)."
Oregon,Lottery,Oregon State Lottery Commission,Or. Rev. Stat. ch. 461,Oregon Administrative Rules Chapter 177,Oregon Administrative Rules Chapter 177 - Oregon State Lottery,https://secure.sos.state.or.us/oard/displayChapterRules.action?selectedChapter=153,verified,2026-05-23,https://secure.sos.state.or.us/oard/displayChapterRules.action?selectedChapter=153,OAR Chapter 177 Oregon State Lottery verified on official Oregon SOS OARD (rules 177-010-0000 through video lottery divisions). The SOS database uses internal selectedChapter=153 for Chapter 177.
Oregon,Horse/parimutuel racing,Oregon Racing Commission,Or. Rev. Stat. ch. 462,Oregon Administrative Rules Chapter 462,Oregon Administrative Rules Chapter 462 - Oregon Racing Commission,https://secure.sos.state.or.us/oard/displayChapterRules.action?selectedChapter=173,verified,2026-05-23,https://secure.sos.state.or.us/oard/displayChapterRules.action?selectedChapter=173,"OAR Chapter 462 Oregon Racing Commission verified on official Oregon SOS OARD (licensing, pari-mutuel rules, totalizator, account wagering). SOS database uses internal selectedChapter=173 for Chapter 462."
Oregon,Sports betting,Oregon State Lottery,Or. Rev. Stat. ch. 461 (Lottery 'Scoreboard' product); no separate sports wagering chapter,Oregon Administrative Rules Chapter 177,Oregon Administrative Rules Chapter 177 - Oregon State Lottery,https://secure.sos.state.or.us/oard/displayChapterRules.action?selectedChapter=153,verified,2026-05-23,https://secure.sos.state.or.us/oard/displayChapterRules.action?selectedChapter=153,Oregon sports betting is operated by the Oregon State Lottery (Scoreboard) under OAR Chapter 177; there is no separate sports wagering chapter. Verified Chapter 177 on official SOS OARD.
Oregon,Charitable gaming,Oregon Department of Justice - Charitable Activities Section,Or. Rev. Stat. ch. 464,Oregon Administrative Rules Chapter 137 Division 25 (Bingo/Raffles/Monte Carlo),Oregon Administrative Rules Chapter 137 - Department of Justice; Division 25,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=292,verified,2026-05-23,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=292,"Charitable gaming rules are OAR Chapter 137 (Dept. of Justice), Division 25 BINGO/RAFFLES/MONTE CARLO (rules 137-025-xxxx). Verified on official SOS OARD; DOJ Charitable Activities page links to this Division. SOS database uses internal selectedDivision=292 for Ch.137 Div.25."
Pennsylvania,Lottery,Pennsylvania Lottery (Dept. of Revenue),72 Pa. Stat. § 3761-101 et seq.,61 Pa. Code Part V (State Lotteries) (Chs. 801-876),Pennsylvania Code Title 61 - Revenue; Part V State Lotteries,https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/061/chapter801/chap801toc.html,verified,2026-05-23,https://www.pacodeandbulletin.gov/Display/pacode?titleNumber=061&file=/secure/pacode/data/061/061toc.html;https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/061/chapter801/chap801toc.html,"State Lottery rules are 61 Pa. Code Part V State Lotteries (Chs. 801-876, incl. Powerball, instant games, iLottery). Verified Chapter 801 General Provisions on official pacodeandbulletin.gov."
Pennsylvania,Commercial casino,Pennsylvania Gaming Control Board,4 Pa.C.S. § 1101 et seq.,58 Pa. Code Part VII (Gaming Control Board) - slot machine & table game subparts (e.g. Subpart C Chs. 441a-443a; Subpart E Chs. 461a-466b; Subpart K Table Games Chs. 601a et seq.),Pennsylvania Code Title 58 - Recreation; Part VII Gaming Control Board,https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/058/partVIItoc.html,verified,2026-05-23,https://www.pacodeandbulletin.gov/Display/pacode?titleNumber=058&file=/secure/pacode/data/058/058toc.html;https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/058/partVIItoc.html,"Commercial casino (slot machine & table game) regulation is 58 Pa. Code Part VII (Gaming Control Board), slot-machine and table-game subparts. Verified Part VII TOC on official pacodeandbulletin.gov."
Pennsylvania,Horse/parimutuel racing,Pennsylvania State Horse Racing Commission,3 Pa.C.S. § 9301 et seq.,7 Pa. Code Part VIII (State Horse Racing Commission) (Chs. 171-401),Pennsylvania Code Title 7 - Agriculture; Part VIII State Horse Racing Commission,https://www.pacodeandbulletin.gov/Display/pacode?file=%2Fsecure%2Fpacode%2Fdata%2F007%2FpartVIIItoc.html,verified,2026-05-23,https://www.pacodeandbulletin.gov/Display/pacode?file=%2Fsecure%2Fpacode%2Fdata%2F007%2FpartVIIItoc.html,"State Horse Racing Commission rules under the 2016 Race Horse Industry Reform Act (3 Pa.C.S. 9301-9374) are 7 Pa. Code Part VIII (Subparts A-F: general, licensing, pari-mutuel, standardbred, thoroughbred, medications). Verified Part VIII TOC on official pacodeandbulletin.gov. (Legacy rules at 58 Pa. Code Part IV are superseded.)"
Pennsylvania,Sports betting,Pennsylvania Gaming Control Board,4 Pa.C.S. ch. 13C (§ 13C01 et seq.),58 Pa. Code Part VII Subpart Q (Sports Wagering) (Chs. 1401a-1411a),Pennsylvania Code Title 58 - Recreation; Part VII Gaming Control Board; Subpart Q Sports Wagering,https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/058/partVIItoc.html,verified,2026-05-23,https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/058/partVIItoc.html,"Sports Wagering is 58 Pa. Code Part VII, Subpart Q (Chs. 1401a-1411a) under the Gaming Control Board. Verified subpart presence in Part VII TOC on official pacodeandbulletin.gov."
Pennsylvania,iGaming/online casino,Pennsylvania Gaming Control Board,4 Pa.C.S. ch. 13B (§ 13B01 et seq.),58 Pa. Code Part VII Subpart L (Interactive Gaming) (Chs. 801a-830a),Pennsylvania Code Title 58 - Recreation; Part VII Gaming Control Board; Subpart L Interactive Gaming,https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/058/partVIItoc.html,verified,2026-05-23,https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/058/partVIItoc.html,"iGaming/online casino is 58 Pa. Code Part VII, Subpart L Interactive Gaming (Chs. 801a-830a) under the Gaming Control Board. Verified subpart presence in Part VII TOC on official pacodeandbulletin.gov."
Pennsylvania,Charitable gaming,Pennsylvania Department of Revenue,10 P.S. § 328.101 et seq.,61 Pa. Code Part VII (Local Option Small Games of Chance) (Ch. 901),Pennsylvania Code Title 61 - Revenue; Part VII Local Option Small Games of Chance,https://www.pacodeandbulletin.gov/Display/pacode?titleNumber=061&file=/secure/pacode/data/061/061toc.html,verified,2026-05-23,https://www.pacodeandbulletin.gov/Display/pacode?titleNumber=061&file=/secure/pacode/data/061/061toc.html,Charitable gaming (Local Option Small Games of Chance Act) is administered by the Dept. of Revenue under 61 Pa. Code Part VII (Ch. 901). Verified Title 61 TOC (Part VII Local Option Small Games of Chance) on official pacodeandbulletin.gov.
Pennsylvania,DFS / fantasy sports,Pennsylvania Gaming Control Board,4 Pa.C.S. ch. 3 (§ 301 et seq.),58 Pa. Code Part VII Subpart O (Fantasy Contests) (Chs. 1201a-1209a),Pennsylvania Code Title 58 - Recreation; Part VII Gaming Control Board; Subpart O Fantasy Contests,https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/058/partVIItoc.html,verified,2026-05-23,https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/058/partVIItoc.html,"DFS/fantasy contests are 58 Pa. Code Part VII, Subpart O Fantasy Contests (Chs. 1201a-1209a) under the Gaming Control Board. Verified subpart presence in Part VII TOC on official pacodeandbulletin.gov."
Rhode Island,Lottery,Rhode Island Lottery (Division of State Lottery),R.I. Gen. Laws § 42-61-1 et seq.,,,,NOT FOUND - needs human review,2026-05-23,https://rules.sos.ri.gov/organizations;https://www.rilot.com/content/dam/interactive/ilottery/pdfs/about-us/RILotteryRules.pdf,"No RICR (Rhode Island Code of Regulations) part codifies the Lottery's operational rules. The RI Lottery (Division of Lotteries, Dept. of Revenue) issues its own 'Rules and Regulations' (rilot.com), not codified in the official RICR (Title 280 Dept. of Revenue has no Division of Lotteries gaming subchapter; only a tax-withholding rule 280-RICR-20-55-8). Needs human review re: whether the Lottery's own rules count as the admin code."
Rhode Island,Commercial casino,Rhode Island Lottery; Department of Business Regulation,R.I. Gen. Laws § 42-61.2-1 et seq.,,,,NOT FOUND - needs human review,2026-05-23,https://rules.sos.ri.gov/organizations;https://www.rilot.com/content/dam/interactive/ilottery/pdfs/about-us/RILotteryRules.pdf,"RI casino (video lottery terminals & table games at Bally's facilities) is run by the Division of Lotteries under R.I. Gen. Laws ch. 42-61.2; operational rules are in the Lottery's own 'Rules and Regulations' (rilot.com Ch. 20), not codified in the official RICR. DBR (230-RICR-30-30) handles only pari-mutuel/simulcast and combat sports. No official admin-code part found."
Rhode Island,Horse/parimutuel racing,Rhode Island Division of Gaming and Athletics Licensing,R.I. Gen. Laws § 41-3-1 et seq.,230-RICR-30-30 (Gaming and Athletics) - Subchapter 30; e.g. Part 2 License Applications and Part 4 Simulcast Wagering,Rhode Island Code of Regulations Title 230 - Dept. of Business Regulation; Chapter 30 Commercial Licensing; Subchapter 30 Gaming and Athletics,https://rules.sos.ri.gov/Regulations/part/230-30-30-4,verified,2026-05-23,https://rules.sos.ri.gov/Regulations/part/230-30-30-4;https://rules.sos.ri.gov/Regulations/part/230-30-30-2;https://dbr.ri.gov/rules-regulations-commercial-licensing-gaming-athletics,"Pari-mutuel/simulcast racing wagering is regulated by DBR (Division of Gaming and Athletics Licensing) under RICR Title 230, Chapter 30, Subchapter 30 Gaming and Athletics: Part 2 License Applications and Part 4 Simulcast Wagering. Verified 230-RICR-30-30-4 (Simulcast Wagering, implements § 41-11-1 et seq.) on official rules.sos.ri.gov."
Rhode Island,Sports betting,Rhode Island Lottery; Department of Business Regulation,R.I. Gen. Laws § 42-61.2-1 et seq.,,,,NOT FOUND - needs human review,2026-05-23,https://rules.sos.ri.gov/organizations;https://www.rilot.com/content/dam/interactive/ilottery/pdfs/about-us/RILotteryRules.pdf,"RI sports wagering is run by the Division of Lotteries under R.I. Gen. Laws ch. 42-61.2; operational rules are in the Lottery's own 'Rules and Regulations' (rilot.com Ch. 20 - Sports Wagering), not codified in the official RICR. No official admin-code part found."
Rhode Island,iGaming/online casino,Rhode Island Lottery; Department of Business Regulation,R.I. Gen. Laws § 42-61.2-2.1; § 42-61.2-3.4,,,,NOT FOUND - needs human review,2026-05-23,https://rules.sos.ri.gov/organizations;https://www.rilot.com/content/dam/interactive/ilottery/pdfs/about-us/RILotteryRules.pdf,"RI iGaming is run by the Division of Lotteries under R.I. Gen. Laws ch. 42-61.2; operational rules are in the Lottery's own 'Rules and Regulations' (rilot.com Ch. 20 - iGaming), not codified in the official RICR. No official admin-code part found."
Rhode Island,Charitable gaming,Rhode Island Department of Business Regulation,R.I. Gen. Laws § 11-19-30 et seq.,270-RICR-50-00-1 (Rules and Regulations Games of Chance),Rhode Island Code of Regulations Title 270 - Department of Public Safety (State Police); 270-RICR-50-00-1 Games of Chance,https://rules.sos.ri.gov/regulations/Part/270-50-00-1,verified,2026-05-23,https://rules.sos.ri.gov/regulations/Part/270-50-00-1,"Charitable gaming (Games of Chance) rules are 270-RICR-50-00-1 issued by the RI Dept. of Public Safety / State Police (games of chance authorized by the State Police per R.I. Gen. Laws 11-19-30.1), NOT the Dept. of Business Regulation named in the assignment. Verified on official rules.sos.ri.gov."
South Carolina,Lottery,South Carolina Education Lottery Commission,S.C. Code Ann. § 59-150-10 et seq.,S.C. Code Regs. Chapter 44 (South Carolina Lottery Commission),South Carolina Code of Regulations Chapter 44 - South Carolina Lottery Commission,https://www.scstatehouse.gov/coderegs/Chapter%2044.pdf,verified,2026-05-23,https://www.scstatehouse.gov/coderegs/Chapter%2044.pdf;https://www.scstatehouse.gov/coderegs/statmast.php,"SC Code of Regulations Chapter 44 (South Carolina Lottery Commission), statutory authority 1976 Code § 59-150-70. Lottery regs are promulgated under the APA (subject to General Assembly approval). Verified official scstatehouse.gov coderegs PDF (sections R.44-10 et seq.)."
South Carolina,Charitable gaming,South Carolina Department of Revenue (bingo); Secretary of State (raffles),S.C. Code Ann. § 33-57-100 et seq. (raffles); § 12-21-3920 et seq. (bingo),,,,NOT FOUND - needs human review,2026-05-23,https://www.scstatehouse.gov/coderegs/statmast.php;https://dor.sc.gov/tax-index/bingo;https://sos.tn.gov/,"No separate SC Code of Regulations chapter codifies bingo or raffle rules. Searched the full DOR regs (Chapter 117) and Secretary of State regs (Chapter 113) on official scstatehouse.gov - zero bingo/raffle provisions in either. SC charitable bingo is regulated directly by statute (Bingo Act, Title 12 Ch. 21) administered by DOR; raffles by statute (Title 33 Ch. 57) via the Secretary of State. No admin-code citation exists."
South Dakota,Lottery,South Dakota Lottery Commission,S.D. Codified Laws ch. 42-7A,Administrative Rules of South Dakota Article 48 (48:01 Instant; 48:02 Video Lottery; 48:03 On-Line),Administrative Rules of South Dakota Article 48 - South Dakota Lottery,https://sdlegislature.gov/Rules/Administrative/48,verified,2026-05-23,https://sdlegislature.gov/Rules/Administrative/48;https://sdlegislature.gov/api/Rules/Rule/48.html?all=true,"ARSD Article 48 South Dakota Lottery (48:01 Instant, 48:02 Video Lottery, 48:03 On-Line) verified on official sdlegislature.gov (definitions, retailer licensing, fees, game rules)."
