jurisdiction,program_name,program_type,administering_body,verticals_covered,enrollment_method,duration_options,removal_process,official_url,is_nvsep,idpair_flag,verification_status,retrieval_date,source_urls,notes
Massachusetts,Massachusetts Gaming Commission Voluntary Self-Exclusion — Casino and Parimutuel/Simulcast Areas,state-run,Massachusetts Gaming Commission (MGC),commercial casino;parimutuel horse racing;simulcast wagering;sports betting,Online (PlayWell 24/7 chat); phone (1-800-426-1234 24-hour line); in-person at PlayWell Info Centers at casinos or MGC Boston office,1 year; 3 years; 5 years; lifetime,Enrollment in a shorter period required before lifetime; duration cannot be shortened after enrollment; no public removal process stated for fixed terms,https://massgaming.com/about/voluntary-self-exclusion/,no,no,verified,2026-05-23,https://massgaming.com/about/voluntary-self-exclusion/;https://www.mass.gov/regulations/205-CMR-13300-voluntary-self-exclusion;https://massgaming.com/about/horse-racing/,205 CMR 133.00 explicitly covers 'entering the gaming area of a gaming establishment or any area in which pari-mutuel or simulcasting wagers are placed.' This language encompasses licensed horse racing venues and simulcast facilities regulated by the MGC Division of Racing. The MGC administers a single statewide VSE program covering casino gaming; sports wagering; and parimutuel/simulcast wagering areas. Enrollment is through the PlayWell program. The VSE FAQ (March 2023) confirms four duration options. Per the massgaming.com horse racing page; the general VSE program applies to all MGC-regulated facilities including racing.
Massachusetts,Massachusetts NVSEP participation — CONFIRMED NEXT; not yet live as of 2026-05-23,national-NVSEP,idPair / Massachusetts Gaming Commission (pending),commercial casino;sports betting,Not yet live (pending MGC activation; enrollment expected at nvsep.org once live),Not yet announced,Not yet announced,https://www.nvsep.org/,yes,yes,NOT FOUND - needs human review,2026-05-23,https://marvn.ai/discover/guides/national-voluntary-self-exclusion-program-nvsep;https://cdcgaming.com/massachusetts-national-voluntary-self-exclusion-program-to-debut-this-summer/;https://macgh.org/advocacy/,As of December 2025 (most recent confirmed data point) Wyoming became the 21st NVSEP jurisdiction and Massachusetts was confirmed 'next' but not yet live. No evidence found of a Massachusetts NVSEP activation announcement in early 2026. MACGH advocacy page links to nvsep.org in footer confirming organizational involvement. The MGC's own VSE (205 CMR 133) is already live and covers casino + parimutuel + sports (see id=72); this NVSEP row specifically tracks the national multi-state program. idpair_flag=yes because idPair/NVSEP is the program vehicle. Status should be re-checked; may have launched after May 2026 data cutoff.
Massachusetts,NVSEP DFS All-50-States Program (idPair / PrizePicks / Underdog / Dabble / Splash Sports),national-NVSEP,idPair (with PrizePicks; Underdog; Dabble; Splash Sports — Coalition for Fantasy Sports),DFS,Online via nvsep.org or participating operator apps,Per participating DFS operator terms,Per participating operator terms,https://www.nvsep.org/,yes,yes,verified,2026-05-23,https://www.nvsep.org/;https://sbcamericas.com/2026/03/10/dfs-operators-self-exclusion-program/,"Launched March 10, 2026 covering all 50 states including Massachusetts. Operator-led program via Coalition for Fantasy Sports (CFS) with PrizePicks, Underdog, Dabble, Splash Sports. Single enrollment simultaneously excludes from all four DFS operators. Massachusetts DFS separately regulated by MGC under 940 CMR 34.00."
Minnesota,Property-by-property tribal casino self-exclusion (no central MN state list),property-by-property,Individual tribal gaming operations (11 Ojibwe and Dakota nations; 19 casino properties),tribal casino gaming,Varies by property — in-person at individual tribal casino,Varies by property — not uniformly specified,Varies by property — not uniformly specified,https://mnindiangamingassoc.com/,no,no,verified,2026-05-23,https://mnindiangamingassoc.com/faqs/;https://mysticlake.com/responsible-gaming;https://idscan.net/casino-banned-self-exclusion-lists-for-all-50-states/;https://americangaming.org/wp-content/uploads/2025/02/Minnesota_AGA-Gaming-Regulatory-Fact-Sheet-2025.pdf,Minnesota has 19 tribal casino properties operated by 11 tribal nations; all gaming is conducted under tribal-state compacts. There is no state-administered central voluntary self-exclusion list. Minnesota tribal compacts do not uniformly mandate self-exclusion programs. Individual tribes such as the Shakopee Mdewakanton Sioux Community (Mystic Lake; Little Six) and Mille Lacs Band of Ojibwe offer property-level self-exclusion. AGA 2025 Regulatory Fact Sheet confirms no statewide centralized list. Each patron must contact individual properties to self-exclude. MIGA FAQ does not mention a central program.
Minnesota,No voluntary self-exclusion program (confirmed — Minnesota Lottery),none,Minnesota State Lottery,lottery (retail and online account),N/A,N/A,N/A,https://www.mnlottery.com/gambling-help,no,no,verified,2026-05-23,https://www.mnlottery.com/gambling-help;https://www.mnlottery.com/frequently-asked-questions;https://kindbridge.com/gambling-self-exclusion-list-by-state/,The Minnesota Lottery gambling-help page and FAQ contain no self-exclusion program. Responsible gaming resources are limited to the problem gambling helpline (1-800-333-HOPE) and links to external treatment providers. The lottery's account registration and FAQ pages make no mention of self-exclusion or account-level deposit/spend limits. A Kindbridge 2025-26 state-by-state review confirms Minnesota does not maintain a statewide centralized exclusion list for lottery. No self-exclusion tool found on mnlottery.com.
Minnesota,No voluntary self-exclusion program (confirmed — Minnesota charitable gaming),none,Minnesota Gambling Control Board,charitable gaming (pull-tabs;bingo;paddlewheels;tipboards;raffles),N/A,N/A,N/A,https://mn.gov/gcb/,no,no,verified,2026-05-23,https://mn.gov/gcb/;https://mn.gov/gcb/publications/manual/conduct-games/;https://mn.gov/gcb/start-here/new-to-this/charitable-gambling/charitable-gambling-in-a-nutshell.jsp,The Minnesota Gambling Control Board regulates lawful charitable gambling (pull-tabs; bingo; paddlewheels; tipboards; raffles) under Minnesota Statutes Chapter 349. The GCB website and Charitable Gambling Manual contain no self-exclusion provisions. The Board's only problem gambling reference is the helpline (800-333-HOPE). Charitable gaming in Minnesota is conducted by licensed nonprofit organizations at permitted premises; no central patron exclusion list exists or is required under state law.
Minnesota,No state voluntary self-exclusion program for horse racing/ADW (Racing Commission has involuntary exclusion only; no SE for ADW),none,Minnesota Racing Commission,horse/parimutuel racing;ADW,N/A,N/A,N/A,https://mn.gov/mrc/,no,no,verified,2026-05-23,https://mn.gov/mrc/;https://www.revisor.mn.gov/statutes/cite/240.27;https://mn.gov/elicense/a-z/?id=1083-250550,Minnesota Statutes 240.27 grants the Racing Commission authority to exclude individuals with felony convictions or license violations (involuntary exclusion only) and allows racetracks to eject patrons for lawful reasons. There is no voluntary self-exclusion program in Chapter 240 or MRC rules. The MRC website links only to the Minnesota Alliance for Problem Gambling for responsible gaming; no SE program page exists. The ADW operator licensing page (mn.gov) imposes no SE requirements on licensed ADW providers. Individual racetracks (Canterbury Park; Running Aces) may have property-level patron self-restriction tools but no central state program found.
Mississippi,Mississippi Gaming Commission Self-Exclusion Program,state-run,Mississippi Gaming Commission (MGC),Commercial casino; Sports betting (on-premises retail),Online enrollment only — email address required; upload photo ID and selfie photos; can use casino-provided device if no personal access,Minimum 3 years; longer periods available; no lifetime option until at least 3 years served,Automatic deactivation at end of term — no action needed; casinos may take up to 10 business days to update system,https://www.msgamingcommission.com/exclusion_list,no,no,verified,2026-05-23,https://www.msgamingcommission.com/exclusion_list;https://www.msgamingcommission.com/links/problemgaming/Self_Exclusion_FAQ,Program is statewide for all MGC-licensed casinos. Per FAQ: does NOT cover MS Lottery or bingo. Sports betting in MS is on-premises/casino-property only so casino exclusion effectively covers retail sports betting. Contact: selfexclusion@mgc.ms.gov or 228-297-8174.
Mississippi,No voluntary self-exclusion program (confirmed — Mississippi Lottery),none,Mississippi Lottery Corporation,lottery (retail draw;scratch),N/A,N/A,N/A,https://www.mslottery.com/players/play-responsibly/,no,no,verified,2026-05-23,https://www.mslottery.com/players/play-responsibly/;https://www.msgamingcommission.com/links/problemgaming/Self_Exclusion_FAQ,Mississippi Lottery Corporation offers no self-exclusion program. The Play Responsibly page (mslottery.com/players/play-responsibly/) and FAQs reference only the 1-800-GAMBLER helpline. The Mississippi Gaming Commission self-exclusion program explicitly excludes lottery play — MGC FAQ states: 'Enrollment in the MGC self-exclusion program does not prohibit you from playing the MS lottery or bingo.' No lottery-specific SE program exists at mslottery.com.
Missouri,Missouri Gaming Commission List of Disassociated Persons (DAP),state-run,Missouri Gaming Commission (MGC),Commercial casino (excursion gambling boats),Online via MGC portal; in person at any licensed Missouri casino or Jefferson City MGC office,Lifetime enrollment; petition for removal available after 5 years minimum; re-enrollment after removal is permanent for life,Written petition to MGC after minimum 5 years; photo ID and photo required; re-enrollment makes exclusion irrevocable for life,https://www.mgc.dps.mo.gov/DAP/dap_onList.html,no,no,verified,2026-05-23,https://www.mgc.dps.mo.gov/DAP/dap_onList.html;http://www.mgc.dps.mo.gov/dap/dap_about.html;https://www.mgc.dps.mo.gov/DAPWebOnlineProcess/LoginDAPOLP.aspx,"Established 1996 as List of Disassociated Persons. Covers all licensed Missouri excursion gambling boats. Does not extend to out-of-state or tribal casinos. Per regulation, persons on DAP list are also prohibited from sports wagering."
Missouri,Missouri Gaming Commission List of Self-Excluded Persons (SEP) — Sports Wagering,state-run,Missouri Gaming Commission (MGC),Sports betting (online and retail; launched December 1 2025),Online portal or in person at MGC office; application requires photo ID; cannot enroll another person,5-year enrollment; auto-removed at expiration; renewal option available during 3 months before expiration,Automatic removal at end of 5 years; renewal option for additional 5-year period(s) available 3 months prior to expiration,https://www.mgc.dps.mo.gov/DAP/dap_onList.html,no,no,verified,2026-05-23,https://www.mgc.dps.mo.gov/DAP/dap_onList.html;https://www.mgc.dps.mo.gov/SEPLookup/SEPLookupLogin.aspx;https://www.mgc.dps.mo.gov/SportsWagering/Sports_Wagering_Launch122025.pdf,Separate list from DAP (casino exclusion). Specific to sports wagering. Operators must remove SEP individuals from marketing lists and deny participation in player programs. Sports wagering launched December 1 2025.
Missouri,Missouri Lottery Self-Exclusion Program (SEP),state-run,Missouri Lottery,Lottery (prize claims; player loyalty program; marketing),"Paper form only — must be notarized; mail or hand-deliver to MO Lottery offices in Jefferson City, Kansas City, Springfield, or St. Louis",Lifetime,Not described; lifetime agreement; contact MO Lottery Responsible Gaming Coordinator,https://www.molottery.com/about-us/problem-gambling.jsp,no,no,verified,2026-05-23,https://www.molottery.com/about-us/problem-gambling.jsp;https://www.molottery.com/about-us/responsible-gaming-policy.jsp,Program established August 1 2013. Prohibits prize claims over $600; access to My Lottery Players Club; receipt of email/text alerts. Separate from MGC casino/sports wagering programs.
Montana,Sports Bet Montana In-App Self-Exclusion (Montana Lottery),state-run,Montana Lottery,Sports betting (Montana Lottery kiosks and Sports Bet Montana app),In-app via account settings in the Sports Bet Montana app,Unspecified — in-app self-exclusion available; deposit/loss limits and cool-off periods also available,Not described,https://montanalottery.com/play-responsibly/,no,no,verified,2026-05-23,https://montanalottery.com/play-responsibly/;https://www.bettingusa.com/states/mt/,Sports Bet Montana (operated by Montana Lottery) provides in-app responsible gaming tools including full self-exclusion via account settings. Duration options not publicly specified on official site.
Montana,No voluntary self-exclusion program (confirmed — property-by-property only),property-by-property,Montana Department of Justice Gambling Control Division (no statewide SE list),video gambling machines;live poker;charitable gaming,N/A — no statewide program; individual operators only,N/A,N/A,https://dojmt.gov/gaming/compulsive-gambling/,no,no,verified,2026-05-23,https://dojmt.gov/gaming/compulsive-gambling/;https://kindbridge.com/gambling-self-exclusion-list-by-state/;https://dojmt.gov/gaming/,"Montana has no statewide centralized self-exclusion list for gambling. The DOJ Gambling Control Division compulsive-gambling page lists helpline numbers only (Montana Council on Problem Gambling: 888-552-9076) with no self-exclusion enrollment. MCA 23-5-706 covers casino night permits; it is not a self-exclusion statute. GCD regulates video gambling machines, card games, bingo, and charitable gaming but operates no statewide SE list. Access is property-by-property only. Confirmed by dojmt.gov and Kindbridge state-by-state review."
Montana,No voluntary self-exclusion program (confirmed — Montana Lottery),none,Montana Lottery,lottery (retail;Players Club),N/A,N/A,N/A,https://www.montanalottery.net/responsible/,no,no,verified,2026-05-23,https://www.montanalottery.net/responsible/;https://dojmt.gov/gaming/compulsive-gambling/,Montana Lottery's responsible gaming page (montanalottery.net/responsible/) contains tips and warning-sign information only; no self-exclusion program is offered or referenced. Montana has no statewide SE list for any gambling vertical. The Players Club is a loyalty program with no self-exclusion feature. Confirmed no SE program at Montana Lottery.
Nebraska,Nebraska Racing and Gaming Commission Voluntary Self-Exclusion Program (VSE),state-run,Nebraska Racing and Gaming Commission (NRGC),Commercial casino (racetrack casinos); Horse/parimutuel racing,"Online portal — choose duration, complete identity verification, digitally sign and submit",1 year; 3 years; 5 years; lifetime (lifetime only available after at least 6 months on list),Not described on public-facing site; contact NRGC,https://nrgc.nebraska.gov/responsible-gaming,no,no,verified,2026-05-23,https://nrgc.nebraska.gov/responsible-gaming;https://nrgc.nebraska.gov/sites/default/files/2025-08/VSE%20Policy%20and%20Procedures%202025.pdf;https://www.1011now.com/2022/09/22/nebraska-racing-gaming-commission-launches-statewide-voluntary-self-exclusion-program-ahead-casino-gaming/,NRGC state VSE program launched September 2022 ahead of casino opening. Covers all NRGC-licensed gaming establishments including racetrack casinos and pari-mutuel wagering. In December 2025 NRGC also activated NVSEP/idPair as an additional national option; state VSE program remains active. Helpline: 1-833-BETOVER.
Nebraska,Nebraska NVSEP (National Voluntary Self-Exclusion Program) via idPair,national-NVSEP,Nebraska Racing and Gaming Commission (NRGC) / idPair,Commercial casino (racetrack casinos); Horse/parimutuel racing,Online at nvsep.org — identity verification; digital signature,1 year; 3 years; 5 years; 10 years; lifetime (per NVSEP platform),Per NVSEP platform terms,https://nvsep.org,yes,yes,verified,2026-05-23,https://www.businesswire.com/news/home/20251222992125/en/Nebraska-Racing-and-Gaming-Commission-Activates-idPair-National-Self-Exclusion-to-Enhance-Player-Protection-Across-Region;https://nrgc.nebraska.gov/responsible-gaming;https://g3newswire.com/nebraska-racing-gaming-commission-launches-idpair-nvsep-nebraska-racing-and-gaming-commission/,NVSEP activated for Nebraska by NRGC on December 22 2025 — Nebraska became part of the multi-state NVSEP network. Covers casinos and pari-mutuel wagering plus cross-state coverage for other NVSEP jurisdictions. Runs alongside the state VSE program.
Nebraska,No voluntary self-exclusion program (confirmed — Nebraska Lottery),none,Nebraska Lottery (Nebraska Department of Revenue),lottery (retail draw;scratch),N/A,N/A,N/A,https://nelottery.com/homeapp/article/4717/display,no,no,verified,2026-05-23,https://nelottery.com/homeapp/article/4717/display;https://nrgc.nebraska.gov/responsible-gaming;https://www.businesswire.com/news/home/20251222992125/en/Nebraska-Racing-and-Gaming-Commission-Activates-idPair-National-Self-Exclusion-to-Enhance-Player-Protection-Across-Region,Nebraska Lottery (administered by Nebraska Dept. of Revenue) offers no self-exclusion program. The Nebraska Racing and Gaming Commission (NRGC) joined NVSEP/idPair in December 2025; that program covers NRGC-regulated casinos and pari-mutuel wagering only. The Nebraska Lottery is a separate agency and is not regulated by NRGC and is not covered by the NVSEP activation. Nebraska Lottery Title 370 regulations (effective 9/21/2025) contain no self-exclusion provisions. Responsible gaming page refers to helpline only (833-BETOVER).
New Hampshire,New Hampshire Lottery iLottery Self-Exclusion,state-run,New Hampshire Lottery Commission,iLottery (online lottery); My603Rewards loyalty program,In-app/online via NH Lottery account settings,1 month; 3 months; 6 months; exclusion cannot be reversed until period expires,Not described; automatically expires after selected period; contact NH Lottery support,https://faq.nhlottery.com/support/solutions/articles/156000153083-how-do-i-set-up-self-exclusion-,no,no,verified,2026-05-23,https://faq.nhlottery.com/support/solutions/articles/156000153083-how-do-i-set-up-self-exclusion-;https://www.nhlottery.com/About-Us/FAQ.aspx,NH Lottery iLottery self-exclusion covers the NH Lottery online play platform and My603Rewards. Duration options are 1/3/6 months. Does not appear to cover in-store lottery purchases or charitable gaming venues.
New Hampshire,New Hampshire Lottery Sports Betting (DraftKings) — Operator-Level Self-Exclusion,property-by-property,DraftKings (exclusive NH Lottery sports betting partner),Sports betting (online/mobile — DraftKings exclusive),In-app via DraftKings account settings; DraftKings responsible gaming tools,DraftKings platform-specific options (various durations available),Per DraftKings platform,https://sportsbook.draftkings.com/nh-sports-betting,no,no,verified,2026-05-23,https://sportsbook.draftkings.com/nh-sports-betting;https://www.nhlottery.com/sports/draftkings-mobile-sportsbook-1,Sports betting in NH is operated exclusively by DraftKings under NH Lottery contract (deal extended February 2026). Self-exclusion is managed at operator level within the DraftKings app; no separate NH Lottery sports betting self-exclusion portal found.
New Hampshire,NH Unified Self-Exclusion Database (authorized — implementation pending as of May 2026),state-run,New Hampshire Lottery & Gaming Commission (formerly NH Lottery Commission),all regulated gaming (VLTs;casino;historic horse racing;lottery;charitable gaming;sports wagering),Online platform (agent to be selected via competitive bid; RFI issued March 2026),Not yet specified (pending rulemaking),Not yet specified (pending rulemaking),https://www.nhlottery.com/,no,no,NOT FOUND - needs human review,2026-05-23,https://cdcgaming.com/ayotte-signs-new-hampshire-gambling-expansion-into-law/;https://www.nhpr.org/nh-news/2026-04-13/gambling-addiction-new-responsible-gaming-council-nh;https://apps.das.nh.gov/NHProcurement/File/rfi-lottery-2026-02-0.pdf,HB 2 signed June 30 2025 authorizes NH Lottery & Gaming Commission to establish a centralized voluntary statewide self-exclusion database covering all legal gaming forms; agent to be selected via competitive bid approved by governor and executive council. As of May 2026: RFI (rfi-lottery-2026-02-0) issued March 2026 — procurement at RFI stage; no contract awarded. NH Council for Responsible Gaming launched April 2026 with no mention of database being live. No enrollment URL exists on nhlottery.com. Authorized but not yet operational; keep NOT FOUND until live enrollment confirmed.
New Mexico,New Mexico Gaming Control Board Self-Exclusion Program,state-run,New Mexico Gaming Control Board (NMGCB),Commercial casino (racetrack casinos/racinos); Tribal gaming (all tribal gaming facilities),In person only — submit completed Self-Exclusion Request form at NMGCB office (4900 Alameda Blvd NE Albuquerque NM) or other approved location; must be photographed; government-issued photo ID required,1 year (12 months); 5 years; lifetime,Written Petition for Removal from Self-Exclusion submitted to NMGCB; board reviews within 90 days; removal not available if less than 1 year since enrollment; must prove removal is in public interest,https://www.gcb.nm.gov/new-mexico-gaming-control-board-compulsive-problem-gambling/,no,no,verified,2026-05-23,https://www.gcb.nm.gov/new-mexico-gaming-control-board-compulsive-problem-gambling/;https://rganm.org/self-exclusion/;https://nmgcb.org/gaming/compulsive-and-problem-gambling/self-exclusion,Statewide program covers all racetrack casinos/racinos AND all tribal gaming facilities in NM — tribal inclusion is notable. Sports betting in NM is tribal-only so tribal self-exclusion coverage applies. NM Racing Commission does not operate a separate self-exclusion; NMGCB program encompasses race tracks.
New Mexico,No voluntary self-exclusion program (confirmed — New Mexico Lottery),none,New Mexico Lottery Authority,lottery (retail draw;scratch),N/A,N/A,N/A,https://www.nmlottery.com/healthy-play/,no,no,verified,2026-05-23,https://www.nmlottery.com/healthy-play/;https://rganm.org/self-exclusion/;https://www.nmlottery.com/lottery-info/rules-policies-and-procedures/,New Mexico Lottery has no self-exclusion program. The Healthy Play section (nmlottery.com/healthy-play/) offers responsible gaming tips and external counseling resources only — no SE enrollment. Jackpocket ceased NM operations (no iLottery as noted). The statewide NM Gaming Control Board self-exclusion covers racetracks/casinos/tribal facilities only (per rganm.org/self-exclusion/); lottery is not included. No account-based lottery play exists in NM to support an SE mechanism.
New York,New York State Gaming Commission Voluntary Self-Exclusion Program,state-run,New York State Gaming Commission (NYSGC),Commercial casino;VLT facilities;Horse/parimutuel racing (on- and off-track);Internet and account wagering;Sports betting (retail and mobile);New York Lottery (draw and instant);QuickDraw;Interactive fantasy sports;Charitable gaming,In person at any licensed gaming facility's designated problem gambling intake area; or by U.S. mail to NYSGC headquarters (Schenectady) — form must be notarized,"1 year, 3 years, 5 years, or lifetime","At end of term, individual is automatically removed unless a new notarized form is submitted within 30 days; lifetime exclusion has no removal process",https://gaming.ny.gov/voluntary-self-exclusion,no,no,verified,2026-05-23,https://gaming.ny.gov/voluntary-self-exclusion;https://gaming.ny.gov/voluntary-self-exclusion-request-form,Single statewide list covers all NYSGC-regulated verticals including sports betting (retail and mobile); online portal in development per legislation; no iLottery/online lottery product currently active. NY Council on Problem Gambling offers free VSE support including notary assistance.
New York,National DFS self-exclusion via idPair / Coalition for Fantasy Sports — New York,national-NVSEP,idPair / Coalition for Fantasy Sports operators (PrizePicks; Underdog; Dabble; Splash Sports),DFS / fantasy sports,Free self-exclusion through participating DFS operators via the idPair/CFS platform,Varies by operator,Varies by operator,https://coalitionforfantasysports.com/idpair,no,yes,verified,2026-05-23,https://coalitionforfantasysports.com/idpair;https://www.nvsep.org/,"New York is NOT a state-level NVSEP participant; the NYSGC runs its own statewide voluntary self-exclusion (separate row). idPair's footprint in NY is the March 2026 all-50-state DFS self-exclusion operated by the Coalition for Fantasy Sports (PrizePicks, Underdog, Dabble, Splash Sports), covering NY-licensed Interactive Fantasy Sports operators."
North Carolina,North Carolina Voluntary Self-Exclusion Program,state-run,North Carolina State Lottery Commission (ncgaming.gov),Sports betting (retail and online);Horse/parimutuel racing (advance deposit wagering),Online enrollment form on ncgaming.gov; also at NC Education Lottery Claims Centers; identity verification required,"1 year, 3 years, 5 years, or lifetime",Exclusion is irrevocable during the selected period; no reversal; removal upon expiration of non-lifetime term,https://ncgaming.gov/responsible-gaming-2/,no,no,verified,2026-05-23,https://ncgaming.gov/responsible-gaming-2/;https://ncgaming.gov/commission-approves-voluntary-self-exclusion-program/,Approved Feb 2024; went live for online enrollment. Single form covers all NC licensed sports betting operators and licensed advance deposit horse race wagering operators. Program activated in advance of March 2024 sports betting launch. Takes effect within 3-4 business days.
North Carolina,North Carolina Education Lottery (NCEL) Online Play Self-Exclusion,state-run,North Carolina Education Lottery (NCEL),Lottery (online/iLottery account-based play; Lucke-Rewards; second-chance drawings),Online via NCEL account responsible gaming tools; or by calling NCEL Online Play Support Center (1-866-934-0289),Temporary (duration not specified in public sources); permanent,Temporary exclusion ends at expiration; permanent exclusion cannot be reversed; contact support center for reinstatement after temporary period,https://nclottery.com/FAQOnlinePlay,no,no,verified,2026-05-23,https://nclottery.com/FAQOnlinePlay;https://nclottery.com/,Covers NCEL account-based online play only; does not cover retail lottery ticket sales. Separate from ncgaming.gov sports betting self-exclusion. Specific duration options (months/years) not published on public FAQ — contact NCEL for details.
North Carolina,No voluntary self-exclusion program for retail lottery (confirmed — NCEL retail scratch/draw),none,NC Education Lottery,lottery (retail scratch-off;draw tickets),N/A,N/A,N/A,https://nclottery.com/FAQOnlinePlay,no,no,verified,2026-05-23,https://nclottery.com/FAQOnlinePlay;https://nclottery.com/Terms,NCEL online account self-exclusion exists but is explicitly limited to NCEL Account access and Online Play Services (Lucke-Rewards second-chance drawings and online purchases). Official FAQ and Terms of Service confirm that self-exclusion does not exclude the player from retail scratch-off or draw ticket purchases at physical retailer locations. No separate retail VSE program exists. A separate sports betting VSE is administered by NC Gaming Commission (not NCEL).
North Dakota,North Dakota Lottery Pick & Click Online Account Self-Exclusion,state-run,North Dakota Lottery,lottery (online draw games — Powerball;Mega Millions;Lotto America;Millionaire for Life;2by2),Online via account settings (Self Exclusion tab in player profile),1 year; 5 years; 10 years; permanent,Exclusion is irrevocable for the selected term; no early removal process described,https://www.lottery.nd.gov/pick-click,no,no,verified,2026-05-23,https://www.lottery.nd.gov/pick-click;https://www.lottery.nd.gov/faqs;https://club.lottery.nd.gov/account/displaytos,North Dakota Lottery operates Pick & Click — an online subscription draw-game system at club.lottery.nd.gov. Terms of Service and FAQ confirm account-level self-exclusion is available for 1 year / 5 years / 10 years / permanent via the Self Exclusion tab on the player profile page. ND Lottery is multi-state draw games only (no retail scratch VLT or iLottery beyond Pick & Click). Charitable gaming is separately regulated by the ND Attorney General Gaming Division; no self-exclusion program found for charitable gaming (pull-tabs bingo etc.) — that vertical remains NOT FOUND / needs human review.
North Dakota,North Dakota Tribal Casinos — Property-Level Self-Exclusion (no central state list),property-by-property,Individual tribal gaming commissions (Spirit Lake Gaming Commission; Standing Rock Sioux Tribe; Three Affiliated Tribes; Turtle Mountain Band; Sisseton-Wahpeton Oyate),commercial casino (tribal Class II/III),In-person at each tribal property,Not centrally specified — property-by-property,Contact individual tribal property,https://www.governor.nd.gov/news/final-drafts-tribal-state-gaming-compacts-submitted-review-public-comment-period-closes,no,no,verified,2026-05-23,https://www.governor.nd.gov/news/final-drafts-tribal-state-gaming-compacts-submitted-review-public-comment-period-closes;https://www.americangaming.org/wp-content/uploads/2025/02/North-Dakota_AGA-Gaming-Regulatory-Fact-Sheet-2025.pdf;https://ndlegis.gov/cencode/t54c58.pdf,North Dakota is tribal gaming only; commercial casinos do not exist. The tribal-state compacts (reviewed via Governor's office and ND Legislative Council) do not require a centralized statewide self-exclusion list and do not expressly mandate operators to offer self-exclusion. Governor Doug Burgum executed new compacts with five tribal nations; reviewed text confirms no central state SE registry. Self-exclusion where available is property-level through individual tribal gaming commissions. AGA 2025 fact sheet corroborates no central state list.
Ohio,Time Out Ohio Voluntary Exclusion Program,state-run,Ohio Casino Control Commission (OCCC) and Ohio Lottery Commission (joint program),Commercial casino;Racino/VLT facilities;Sports betting (retail and online/mobile);Fantasy contests/DFS (via OCCC-licensed operators),Online portal at TimeOutOhio.com (available 24/7); in person at any state casino or racino; or at OCCC Central Office (Columbus),"1 year, 5 years, or lifetime",Application for Removal after minimum period expires; convicted of criminal trespass if found on premises while enrolled,https://timeoutohio.com/,no,no,verified,2026-05-23,https://timeoutohio.com/;https://casinocontrol.ohio.gov/wps/portal/gov/cac/responsible-gambling/01-time-out-ohio;https://www.ohiolottery.com/about/resources/play-responsibly/time-out-ohio-program/time-out-ohio-program-c5c2f3b8feae2cfb5122ed1130d828ec,Joint program of OCCC and Ohio Lottery Commission. Covers 4 casinos + 7 racinos + all sports gaming facilities + all online sportsbooks. DFS operators licensed by OCCC must prohibit enrolled individuals. Ohio confirmed as NVSEP/idPair participating jurisdiction (one of ~21 as of Dec 2025).
Ohio,NVSEP (National Voluntary Self-Exclusion Program) — Ohio,national-NVSEP,idPair / NVSEP,Sports betting (online — multi-state overlay);Casino (multi-state overlay where operators participate),Online via nvsep.org,Varies by jurisdiction/operator; multi-state,Varies by jurisdiction,https://www.nvsep.org/,yes,yes,verified,2026-05-23,https://www.nvsep.org/;https://marvn.ai/discover/guides/national-voluntary-self-exclusion-program-nvsep,Ohio confirmed as one of ~21 NVSEP participating jurisdictions as of late 2025. idPair operates NVSEP as a multi-state overlay. Ohio state program (Time Out Ohio) remains primary; NVSEP provides supplemental multi-state coverage.
Ohio,No voluntary self-exclusion program for live racing/ADW patrons (confirmed — Ohio State Racing Commission),none,Ohio State Racing Commission / individual ADW operators (TVG; FanDuel Racing; TwinSpires),horse/parimutuel racing (live tracks; ADW),N/A,N/A,N/A,https://timeoutohio.com/faq/,no,no,verified,2026-05-23,https://timeoutohio.com/faq/;https://timeoutohio.com/;https://racing.ohio.gov/about-us/laws-and-rules,Time Out Ohio (the Ohio statewide VSE) explicitly covers Ohio casinos / 7 racinos / sports gaming only — ADW and live-track horse racing wagering are not listed as covered entities per official FAQ at timeoutohio.com. Ohio Administrative Code Title 3769 contains no patron self-exclusion requirement for horse racing licensees. Ohio Racing Commission regulations reviewed; no VSE provision found. SB 197 (2025) transfers OSRC functions to Ohio Casino Control Commission but does not create an ADW self-exclusion program. Individual ADW operators (TVG / TwinSpires) may offer account-level responsible gaming tools voluntarily but there is no state-mandated or state-administered ADW VSE program.
Oklahoma,Oklahoma Lottery Self-Exclusion Program (SEP),state-run,Oklahoma Lottery Commission,Lottery (statewide),Notarized SEP Agreement Form submitted to the Oklahoma Lottery; form available for download at lottery.ok.gov; must be notarized by third-party notary,"Lifetime only (irrevocable, no time-limited option confirmed)",Lifetime ban — irrevocable; participant may not claim any lottery prize after enrollment,https://www.lottery.ok.gov/play-responsibly/self-exclusion,no,no,verified,2026-05-23,https://www.lottery.ok.gov/play-responsibly/self-exclusion,Lifetime-only exclusion — distinct from casino/tribal programs which allow 1- to 10-year bans. Third parties cannot enroll on behalf of another person. Participants may no longer receive promotional communications from Oklahoma Lottery.
