jurisdiction,body_type,body_name,verticals_covered,address,phone,website,facebook,twitter_x,linkedin,youtube,other_social,leadership_title,leadership_name,leadership_email,general_email,source_urls,retrieval_date,notes
Missouri,State Gaming Commission,Missouri Gaming Commission,"Casinos (riverboat), bingo (some), charitable gaming",,,https://mgc.dps.mo.gov/,,,,,,,,,,https://mgc.dps.mo.gov/,2026-05-22,GAPFILL: Within Dept of Public Safety. Regulates 13 riverboat casinos. Sports betting legalized Nov 2024 via ballot.
Missouri,State Lottery,Missouri State Lottery Commission,Lottery,,573-751-4050,https://www.naspl.org/naspl-lottery-members/missouri-state-lottery-commission,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/missouri-state-lottery-commission; https://www.naspl.org/naspl-lottery-members/missouri-state-lottery-commission; https://www.naspl.org/naspl-lottery-members/missouri-state-lottery-commission; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Montana,State Gaming Control Board / Commission,Montana Department of Justice Gaming Control,"Multiple (casino, sports betting, tribal, fantasy)",,(406) 444-2026,https://dojmt.gov/gaming/,https://www.facebook.com/AGAustinKnudsen,https://twitter.com/MTagknudsen,,,,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://dojmt.gov/gaming/; https://dojmt.gov/gaming/; https://dojmt.gov/attorney-generals-office/about-austin-knudsen/; https://dojmt.gov/attorney-generals-office/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Montana,State Lottery,Montana Lottery,Lottery,,406-444-5820,https://www.naspl.org/naspl-lottery-members/montana-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/montana-lottery; https://www.naspl.org/naspl-lottery-members/montana-lottery; https://www.naspl.org/naspl-lottery-members/montana-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Montana,State Racing Commission,Montana Board of Horse Racing,Horse racing; pari-mutuel wagering; simulcast wagering,not publicly available,not publicly available,https://liv.mt.gov/Board-of-Horseracing,,,,,,,not publicly available,not publicly available,not publicly available,https://liv.mt.gov/Board-of-Horseracing,2026-05-22,Within Montana Department of Livestock. Added 2026-05-22.
Montana,Tribal Gaming Commission,Assiniboine & Sioux Tribes of the Fort Peck — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1027, Poplar MT 59255",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,justin.grayhawk@fortpecktribes.net,justin.grayhawk@fortpecktribes.net,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Montana,Tribal Gaming Commission,Blackfeet Tribe of the Blackfeet Indian — Tribal Gaming Commission,Tribal Class III 502.3 &,"P.O. Box 850, Browning MT 59417",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,rodg@blackfeetnation.com,rodg@blackfeetnation.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Montana,Tribal Gaming Commission,Chippewa Cree Indians of the Rocky Boy's — Tribal Gaming Commission,Tribal Class II & III,"96 Clinic Road North, Box Elder MT 59521",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chairman@chippewa-cree.org,chairman@chippewa-cree.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Montana,Tribal Gaming Commission,Confederated Salish and Kootenai Tribes of — Tribal Gaming Commission,Tribal Class II & III,"4287 Complex Blvd., Pablo MT 59855",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,tom.mcdonald@cskt.org,tom.mcdonald@cskt.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Montana,Tribal Gaming Commission,Fort Belknap Indian Community of the Fort RR — Tribal Gaming Commission,Tribal Class II & III,"1 Box 66 656 Agency Main Street, Harlem MT",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jeffrey.stiffarm@ftbelknap.org,jeffrey.stiffarm@ftbelknap.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Montana,Tribal Gaming Commission,Northern Cheyenne Tribe of the Northern — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 128, Lame Deer MT 59043",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,serena.wetherelt@cheyennenation.com,serena.wetherelt@cheyennenation.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Nebraska,State Charitable Gaming Regulator,Nebraska Department of Revenue — Charitable Gaming Division,Charitable gaming; bingo; lottery/raffle; keno; pickle cards; mechanical amusement devices,"PO Box 94818, Lincoln, NE 68509-4818",402-471-5729,https://revenue.nebraska.gov/gaming,,,,,,,not publicly available,not publicly available,not publicly available,https://revenue.nebraska.gov/gaming,2026-05-22,"Charitable Gaming Division within Nebraska Department of Revenue regulates bingo, keno (county/city lottery), lottery/raffle, and pickle cards. Added 2026-05-22."
Nebraska,State Gaming Commission,Nebraska Racing and Gaming Commission (NRGC),Casino gaming; horse racing; sports betting; pari-mutuel wagering,"3401 Village Drive, Suite 100, Lincoln, NE 68516",402-471-4155,https://nrgc.nebraska.gov/,,,,,,,not publicly available,not publicly available,not publicly available,https://nrgc.nebraska.gov/,2026-05-22,Established to regulate both horse racing and the casino/sports wagering gaming industry following 2020 ballot initiatives. Helpline: 1-833-BETOVER. Added 2026-05-22.
Nebraska,State Lottery,Nebraska Lottery,Lottery,,402-471-6100,https://nelottery.com/homeapp/landing,https://www.facebook.com/nebraskalottery,https://twitter.com/NE_Lottery,,,instagram: https://instagram.com/ne_lottery/,,,,lottery@nelottery.com,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://nelottery.com/homeapp/landing; https://nelottery.com/homeapp/landing; https://nelottery.com/homeapp/about/main; https://nelottery.com/homeapp/about/publicrecords,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Nebraska,Tribal Gaming Commission,Omaha Tribe of Nebraska — Tribal Gaming Commission,Tribal Class III 502.3 &,"P.O. Box 368, Macy NE 68039",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jason.sheridan@theomahatribe.com,jason.sheridan@theomahatribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Nebraska,Tribal Gaming Commission,Ponca Tribe of Nebraska — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 288, Niobrara NE 68760",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,candaces@poncatribe-ne.org,candaces@poncatribe-ne.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Nebraska,Tribal Gaming Commission,Santee Sioux Nation — Tribal Gaming Commission,Tribal Class II,"108 Spirit Lake Avenue West, Niobrara NE 68760",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,alonzo.denney@ssndakota.com,alonzo.denney@ssndakota.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Nevada,State Gaming Commission (final authority),Nevada Gaming Commission,"Final regulatory authority over all NV gaming licensing, disciplinary actions, rule adoption",,,https://gaming.nv.gov/index.aspx?page=1,,,,,,,,,,https://gaming.nv.gov/index.aspx?page=1,2026-05-22,GAPFILL: 5-member commission. Pairs with NGCB which does investigation/enforcement. Together: 'two-tier' Nevada model widely emulated.
Nevada,State Gaming Control Board (investigative),Nevada Gaming Control Board (NGCB),"Investigation, enforcement, audit, applications, technology approval. Commercial casinos, sports betting, iGaming, race/sportsbook.",,,https://gaming.nv.gov/index.aspx?page=2,,,,,,,,,,https://gaming.nv.gov/index.aspx?page=2,2026-05-22,GAPFILL: 3-member board appointed by Governor. World's most-studied gaming regulator.
Nevada,State Gaming Control Board / Commission,Nevada Gaming Commission and Gaming Control Board,"Multiple (casino, sports betting, tribal, fantasy)",,(702) 486-2000,https://gaming.nv.gov/,https://www.facebook.com/NVGCB/,https://twitter.com/nevadagcb?lang=en,https://www.linkedin.com/company/nevada-gaming-control-board/,https://www.youtube.com/channel/UCa9Xl3ir4kaBuD1eUb8LfGA,instagram: https://www.instagram.com/nevadagcb/,,,,gcbresch@gcb.nv.gov,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.gaming.nv.gov/; https://www.gaming.nv.gov/about-us/contact-us/; https://www.gaming.nv.gov/about-us; https://www.gaming.nv.gov/; https://www.gaming.nv.gov/about-us/; https://www.gaming.nv.gov/about-us/forms-and-applications/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Nevada,State Racing Commission,Nevada Off-Track Pari-Mutuel Wagering Committee,"Off-track pari-mutuel wagering (horse racing, sports, other events)",not publicly available,not publicly available,https://www.gaming.nv.gov/about-us/off-track-pari-mutuel-wagering-committee/,,,,,,,not publicly available,not publicly available,not publicly available,https://www.gaming.nv.gov/about-us/off-track-pari-mutuel-wagering-committee/; https://www.leg.state.nv.us/nrs/nrs-464.html,2026-05-22,"11-member committee appointed by Nevada Gaming Commission per NRS 464.020(5). Governed by NRS Ch. 464 and Regulations 26, 26A, 26B, 26C. Operates under the umbrella of the Nevada Gaming Commission. URL verified 2026-05-22."
Nevada,Tribal Gaming Commission,Fort Mojave Indian Tribe — Tribal Gaming Commission,Tribal Class II & III,"500 Merriman Avenue, Needles CA 92363",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,timothywilliams@fortmojave.com,timothywilliams@fortmojave.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Nevada,Tribal Gaming Commission,Washoe Tribe of Nevada and California — Tribal Gaming Commission,Tribal Class II & III,"919 Hwy. 395 South, Gardnerville NV 89410",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,serrell.smokey@washoetribe.us,serrell.smokey@washoetribe.us,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Hampshire,State Lottery,New Hampshire Lottery Commission,Lottery,,603-271-3391,https://www.naspl.org/naspl-lottery-members/new-hampshire-lottery-commission,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/new-hampshire-lottery-commission; https://www.naspl.org/naspl-lottery-members/new-hampshire-lottery-commission; https://www.naspl.org/naspl-lottery-members/new-hampshire-lottery-commission; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
New Hampshire,State Racing Commission,New Hampshire Pari-Mutuel Commission,Horse/Greyhound Racing,,,https://www.racing.nh.gov/,,,,,,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
New Jersey,State Casino Control Commission,New Jersey Casino Control Commission,Casino,,609-441-3441,https://www.nj.gov/casinos/,https://www.facebook.com/NJCasinoControlCommission,https://x.com/NJCasinoControl,https://www.linkedin.com/company/njccc,https://www.youtube.com/channel/UCERQ-3hF0faI-onQR-VpX1A,instagram: https://www.instagram.com/njcasinocontrol/,Chairman,More Information,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.nj.gov/casinos/; https://www.nj.gov/casinos/; https://www.nj.gov/nj/about/translator/; https://www.nj.gov/casinos/about/overview/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
New Jersey,State Lottery,New Jersey Division Of State Lottery,Lottery,,609-599-5875,https://www.naspl.org/naspl-lottery-members/new-jersey-division-of-state-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,P.O. Box,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/new-jersey-division-of-state-lottery; https://www.naspl.org/naspl-lottery-members/new-jersey-division-of-state-lottery; https://www.naspl.org/naspl-lottery-members/new-jersey-division-of-state-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
New Mexico,State Gaming Control Board / Commission,New Mexico Gaming Control Board,"Multiple (casino, sports betting, tribal, fantasy)",,505-841-9700,https://www.gcb.nm.gov/,,,,,,,,,,https://www.gcb.nm.gov/; https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.nmgcb.org/; https://www.nmgcb.org/contacto/,2026-05-22,URL corrected 2026-05-22: prior nmgcb.org pointed to a squatted Spanish-language casino review site. Replaced with official New Mexico Gaming Control Board .gov site. Seeded from NAGRA. Enrich with leadership/address/phone from official site.
New Mexico,State Lottery,New Mexico Lottery Authority,Lottery,,505-342-7600,https://www.naspl.org/naspl-lottery-members/new-mexico-lottery-authority,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,CEO,P.O. Box,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/new-mexico-lottery-authority; https://www.naspl.org/naspl-lottery-members/new-mexico-lottery-authority; https://www.naspl.org/naspl-lottery-members/new-mexico-lottery-authority; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
New Mexico,Tribal Gaming Commission,Mescalero Apache Tribe of the Mescalero — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 227, Mescalero NM 88340",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,tpadilla@mescaleroapachetribe.com,tpadilla@mescaleroapachetribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Navajo Nation — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 9000, Window Rock AZ 86515",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jonathannez@navajo-nsn.gov,jonathannez@navajo-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,"Ohkay Owingeh, New Mexico — Tribal Gaming Commission",Tribal Class II & III,"P.O. Box 1099, San Juan NM 87566",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,governor@ohkay.org,governor@ohkay.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,"Pueblo of Acoma, New Mexico — Tribal Gaming Commission",Tribal Class II & III,"P.O. Box 309, Acoma NM 87034",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Administration@poamail.org,Administration@poamail.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Pueblo of Isleta — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1270, Isleta NM 87022",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,snmontoya@sandiapueblo.nsn.us,snmontoya@sandiapueblo.nsn.us,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Pueblo of Laguna — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 194, Laguna NM 87026",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,asilva-jose@pol-nsn.gov,asilva-jose@pol-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Pueblo of Pojoaque — Tribal Gaming Commission,Tribal Class II & III,"78 Cities of Gold Road, Santa Fe NM 87506",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jcroybal@pojoaque.org,jcroybal@pojoaque.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Pueblo of San Felipe — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 4339, San Felipe NM 87001",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,gov.aortiz@sfpueblo.com,gov.aortiz@sfpueblo.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Pueblo of Sandia — Tribal Gaming Commission,Tribal Class II & III,"481 Sandia Loop, Bernalillo NM 87004",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,snmontoya@sandiapueblo.nsn.us,snmontoya@sandiapueblo.nsn.us,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Pueblo of Santa Ana — Tribal Gaming Commission,Tribal Class II & III,"2 Dove Road, Santa Ana Pueblo NM 87004",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,governor@santaana-nsn.gov,governor@santaana-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Pueblo of Santa Clara — Tribal Gaming Commission,Tribal Class III 502.3 &,"P.O. Box 580, Espanola NM 87532",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,governor@santaclarapueblo.org,governor@santaclarapueblo.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,Pueblo of Taos — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1846, Taos NM 87571",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,governor@taospueblo.com,governor@taospueblo.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New Mexico,Tribal Gaming Commission,"Pueblo of Tesuque, New Mexico Route — Tribal Gaming Commission",Tribal Class II & III,"42 Box 360-T, Santa Fe NM 87506",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,governor@pueblooftesuque.org,governor@pueblooftesuque.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New York,State Lottery,New York Lottery,Lottery,,,https://nylottery.ny.gov/,,,,,,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://nylottery.ny.gov/; https://nylottery.ny.gov/help-center/; https://nylottery.ny.gov/help-center/; https://nylottery.ny.gov/about-us/; https://nylottery.ny.gov/; https://nylottery.ny.gov/category/about/; https://nylottery.ny.gov/about-us/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
New York,State Lottery,New York State Gaming Commission,Lottery,,518-388-3300,https://www.naspl.org/naspl-lottery-members/new-york-state-gaming-commission,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/new-york-state-gaming-commission; https://www.naspl.org/naspl-lottery-members/new-york-state-gaming-commission; https://www.naspl.org/naspl-lottery-members/new-york-state-gaming-commission; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
New York,Tribal Gaming Commission,Cayuga Nation — Tribal Gaming Commission,Tribal Class II,"P.O. Box 786, Seneca Falls NY 13148",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chalftown@gocayuga.com,chalftown@gocayuga.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New York,Tribal Gaming Commission,Oneida Indian Nation — Tribal Gaming Commission,Tribal Class II & III,"2037 Dream Catcher Plaza, Oneida NY 13421",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,sbarbano@oneida-nation.org,sbarbano@oneida-nation.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New York,Tribal Gaming Commission,Saint Regis Mohawk Tribe Akwesasne Community Building — Tribal Gaming Commission,Tribal Class II & III,"412 State Route 37,",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Beverly.Cook@srmt-nsn.gov,Beverly.Cook@srmt-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
New York,Tribal Gaming Commission,Seneca Nation of Indians — Tribal Gaming Commission,Tribal Class II & III,"12837 Route 438, Irving NY 14081",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jc.seneca@sni.org,jc.seneca@sni.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
North Carolina,State Lottery,North Carolina Education Lottery,Lottery,,919-715-6886,https://www.naspl.org/naspl-lottery-members/north-carolina-education-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/north-carolina-education-lottery; https://www.naspl.org/naspl-lottery-members/north-carolina-education-lottery; https://www.naspl.org/naspl-lottery-members/north-carolina-education-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
North Carolina,Tribal Gaming Commission,Catawba Indian Nation — Tribal Gaming Commission,Tribal gaming,"996 Avenue of the Nations, Rock Hill SC 29730",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,brian.harris@catawba.com,brian.harris@catawba.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
North Carolina,Tribal Gaming Commission,Eastern Band of Cherokee Indians of North — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 455, Cherokee NC 28719",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,mhicks@ebci-nsn.gov,mhicks@ebci-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
North Dakota,State Lottery,North Dakota Lottery,Lottery,"1720 Burlington Drive, Suite C Bismarck, ND 58504-7736",701-328-1574,https://www.naspl.org/naspl-lottery-members/north-dakota-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/north-dakota-lottery; https://www.naspl.org/naspl-lottery-members/north-dakota-lottery,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
North Dakota,Tribal Gaming Commission,"Sisseton-Wahpeton Oyate of the Lake Box 509, Agency Village SD 57262 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Chairman@swo-nsn.gov,Chairman@swo-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
